city,locality,property_type,bhk,area,furnishing,age,parking,price
Surat,Piplod,Apartment,4,4476,Furnished,28,Yes,29.35
Ahmedabad,Gota,Independent House,1,1224,Unfurnished,21,Yes,102.77
Ahmedabad,Navrangpura,Independent House,5,3536,Unfurnished,34,Yes,33.76
Ahmedabad,SG Highway,Apartment,2,1746,Semi-furnished,15,No,80.97
Surat,Vesu,Apartment,3,927,Semi-furnished,13,Yes,120.21
Surat,Adajan,Villa,4,2842,Furnished,18,No,73.8
Ahmedabad,Navrangpura,Villa,2,4653,Unfurnished,20,No,52.9
Ahmedabad,Bopal,Independent House,2,3438,Semi-furnished,28,No,15.67
Surat,Pal,Villa,3,4295,Furnished,13,Yes,71.73
Surat,Piplod,Independent House,1,872,Semi-furnished,13,Yes,15.92
Ahmedabad,Bopal,Apartment,5,3352,Semi-furnished,4,No,185.3
Ahmedabad,SG Highway,Independent House,2,1483,Semi-furnished,25,No,39.7
Ahmedabad,Satellite,Apartment,2,4495,Furnished,24,Yes,167.94
Ahmedabad,SG Highway,Villa,1,2350,Semi-furnished,12,Yes,56.79
Ahmedabad,SG Highway,Apartment,2,1074,Unfurnished,31,Yes,63.73
Ahmedabad,Satellite,Villa,2,1104,Furnished,8,No,25.1
Surat,Piplod,Independent House,4,833,Furnished,19,Yes,159.43
Ahmedabad,Gota,Apartment,4,756,Unfurnished,13,Yes,29.75
Ahmedabad,Satellite,Apartment,2,2305,Semi-furnished,7,Yes,181.77
Ahmedabad,Bopal,Independent House,1,1388,Unfurnished,14,Yes,132.35
Ahmedabad,Satellite,Villa,5,1035,Unfurnished,31,No,198.79
Surat,Pal,Apartment,4,3991,Semi-furnished,8,Yes,179.61
Ahmedabad,Satellite,Villa,3,4622,Unfurnished,8,Yes,155.23
Surat,Vesu,Apartment,5,3795,Semi-furnished,26,Yes,13.85
Surat,Vesu,Independent House,4,1105,Unfurnished,27,No,187.86
Ahmedabad,Satellite,Independent House,1,2376,Semi-furnished,6,Yes,199.68
Ahmedabad,SG Highway,Villa,2,3470,Semi-furnished,17,Yes,39.0
Ahmedabad,SG Highway,Independent House,2,3625,Unfurnished,21,Yes,66.47
Ahmedabad,Gota,Independent House,2,4302,Furnished,23,No,161.12
Ahmedabad,SG Highway,Apartment,5,1294,Semi-furnished,7,No,83.55
Ahmedabad,Bopal,Apartment,1,2663,Semi-furnished,17,Yes,108.08
Ahmedabad,Gota,Apartment,4,4761,Semi-furnished,17,No,181.76
Surat,Piplod,Villa,4,4225,Unfurnished,23,Yes,145.74
Ahmedabad,Navrangpura,Apartment,4,2381,Furnished,20,No,69.83
Ahmedabad,Satellite,Independent House,4,3238,Furnished,17,No,191.08
Surat,Pal,Apartment,2,4283,Semi-furnished,22,No,38.01
Ahmedabad,Bopal,Villa,3,1270,Furnished,8,Yes,48.82
Surat,Piplod,Apartment,5,528,Unfurnished,4,Yes,20.11
Surat,Adajan,Independent House,3,701,Furnished,12,Yes,165.06
Ahmedabad,Satellite,Villa,3,3717,Furnished,5,Yes,32.51
Ahmedabad,Satellite,Independent House,2,2464,Furnished,7,Yes,91.16
Surat,Vesu,Villa,5,2507,Furnished,31,No,73.64
Surat,Pal,Villa,5,3179,Furnished,12,No,56.71
Ahmedabad,SG Highway,Villa,4,2456,Unfurnished,4,No,87.8
Ahmedabad,Navrangpura,Independent House,2,2238,Furnished,13,No,28.91
Ahmedabad,Navrangpura,Apartment,4,1677,Semi-furnished,15,Yes,38.01
Surat,Althan,Villa,5,1566,Unfurnished,20,No,95.08
Surat,Vesu,Villa,3,4047,Semi-furnished,5,No,15.74
Surat,Pal,Apartment,1,3958,Semi-furnished,9,No,182.81
Surat,Adajan,Villa,1,810,Semi-furnished,23,No,53.47
Ahmedabad,SG Highway,Apartment,5,4554,Furnished,30,Yes,174.31
Surat,Adajan,Independent House,3,2022,Furnished,25,Yes,164.66
Ahmedabad,Bopal,Apartment,2,4572,Unfurnished,5,No,169.63
Ahmedabad,Satellite,Apartment,4,834,Unfurnished,16,No,178.57
Surat,Piplod,Villa,4,3159,Furnished,9,No,89.86
Surat,Adajan,Independent House,2,4635,Unfurnished,20,No,47.83
