City,Locality,Property Type,BHK,Area (SqFt),Price (Lakhs),Price per SqFt (Lakhs),Furnishing,Property Age (Years),Nearby Schools,Nearby Hospitals,Parking,Security,Availability
Ahmedabad,Satellite,Independent House,5,2088,233.29,0.11,Unfurnished,26,1.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Villa,1,2318,234.83,0.1,Furnished,28,9.0,6.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,4,978,418.76,0.43,Semi-furnished,24,8.0,2.0,Yes,No,Under_Construction
Surat,Vesu,Independent House,3,3757,470.63,0.13,Semi-furnished,7,6.0,2.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,5,2947,410.0,0.14,Furnished,18,5.0,3.0,Yes,No,Under_Construction
Surat,Piplod,Apartment,4,4476,29.35,0.01,Furnished,28,3.0,4.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Independent House,2,3033,488.24,0.16,Furnished,28,6.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,2,3902,400.96,0.1,Furnished,31,10.0,2.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Independent House,5,2289,473.24,0.21,Semi-furnished,8,3.0,6.0,No,Yes,Under_Construction
Ahmedabad,Gota,Independent House,1,1224,102.77,0.08,Unfurnished,21,9.0,1.0,Yes,No,Ready_to_Move
Surat,Vesu,Apartment,2,676,216.1,0.32,Unfurnished,26,10.0,1.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,4,1161,325.26,0.28,Semi-furnished,10,1.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,5,3536,33.76,0.01,Unfurnished,34,3.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,1,1460,359.62,0.25,Furnished,30,5.0,2.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Independent House,2,1043,321.37,0.31,Semi-furnished,5,3.0,1.0,No,No,Under_Construction
Ahmedabad,SG Highway,Apartment,2,1746,80.97,0.05,Semi-furnished,15,7.0,3.0,No,Yes,Ready_to_Move
Surat,Vesu,Apartment,3,927,120.21,0.13,Semi-furnished,13,7.0,5.0,Yes,Yes,Under_Construction
Surat,Adajan,Villa,4,2842,73.8,0.03,Furnished,18,1.0,5.0,No,No,Ready_to_Move
Ahmedabad,Gota,Villa,2,2163,325.44,0.15,Furnished,23,3.0,4.0,No,No,Under_Construction
Surat,Althan,Apartment,4,3817,420.76,0.11,Unfurnished,11,2.0,9.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,2,4653,52.9,0.01,Unfurnished,20,3.0,10.0,No,No,Under_Construction
Surat,Vesu,Apartment,5,2195,376.78,0.17,Unfurnished,24,6.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,2,3878,446.67,0.12,Semi-furnished,7,6.0,1.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,5,3749,306.62,0.08,Semi-furnished,32,7.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,2,3438,15.67,0.0,Semi-furnished,28,9.0,9.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,5,4654,317.99,0.07,Furnished,26,5.0,4.0,Yes,No,Under_Construction
Surat,Pal,Villa,3,4295,71.73,0.02,Furnished,13,4.0,8.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Independent House,2,2117,367.72,0.17,Semi-furnished,11,4.0,2.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Independent House,1,872,15.92,0.02,Semi-furnished,13,1.0,6.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Apartment,5,3352,185.3,0.06,Semi-furnished,4,4.0,10.0,No,No,Under_Construction
Ahmedabad,Satellite,Apartment,3,4969,214.87,0.04,Semi-furnished,3,6.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Independent House,3,2663,463.5,0.17,Unfurnished,15,4.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,2,1483,39.7,0.03,Semi-furnished,25,7.0,9.0,No,Yes,Under_Construction
Ahmedabad,Satellite,Apartment,2,4495,167.94,0.04,Furnished,24,5.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,1,2350,56.79,0.02,Semi-furnished,12,1.0,9.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Apartment,2,1074,63.73,0.06,Unfurnished,31,4.0,8.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Villa,2,1104,25.1,0.02,Furnished,8,2.0,8.0,No,Yes,Ready_to_Move
Surat,Althan,Apartment,1,2831,333.64,0.12,Unfurnished,4,3.0,2.0,No,No,Ready_to_Move
Surat,Piplod,Independent House,4,833,159.43,0.19,Furnished,19,1.0,8.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Independent House,3,2450,391.31,0.16,Semi-furnished,14,8.0,5.0,Yes,Yes,Under_Construction
Surat,Vesu,Independent House,1,3824,426.8,0.11,Semi-furnished,9,7.0,5.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,4,756,29.75,0.04,Unfurnished,13,6.0,2.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Apartment,2,2305,181.77,0.08,Semi-furnished,7,6.0,8.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,5,2763,264.61,0.1,Semi-furnished,17,5.0,6.0,Yes,No,Under_Construction
Surat,Pal,Apartment,2,520,386.66,0.74,Semi-furnished,13,7.0,6.0,No,No,Under_Construction
Surat,Pal,Independent House,2,3457,381.27,0.11,Furnished,25,9.0,3.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Independent House,5,2103,455.51,0.22,Semi-furnished,5,6.0,6.0,No,Yes,Under_Construction
Surat,Vesu,Villa,2,3476,213.57,0.06,Unfurnished,14,3.0,7.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Independent House,1,1388,132.35,0.1,Unfurnished,14,10.0,9.0,Yes,Yes,Under_Construction
Surat,Vesu,Apartment,5,1270,262.54,0.21,Semi-furnished,13,7.0,1.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Villa,5,1035,198.79,0.19,Unfurnished,31,1.0,1.0,No,No,Ready_to_Move
Surat,Pal,Apartment,3,3743,393.46,0.11,Furnished,18,3.0,3.0,Yes,Yes,Under_Construction
